nivel;codigo;uf;ano;variavel;valor;unidade
UF;11;Rondônia;2002;Produto Interno Bruto a preços correntes;7467630;Mil Reais
UF;11;Rondônia;2003;Produto Interno Bruto a preços correntes;9425010;Mil Reais
UF;11;Rondônia;2004;Produto Interno Bruto a preços correntes;11004641;Mil Reais
UF;11;Rondônia;2005;Produto Interno Bruto a preços correntes;12511821;Mil Reais
UF;11;Rondônia;2006;Produto Interno Bruto a preços correntes;13054713;Mil Reais
UF;11;Rondônia;2007;Produto Interno Bruto a preços correntes;14438376;Mil Reais
UF;11;Rondônia;2008;Produto Interno Bruto a preços correntes;17285542;Mil Reais
UF;11;Rondônia;2009;Produto Interno Bruto a preços correntes;19725010;Mil Reais
UF;11;Rondônia;2010;Produto Interno Bruto a preços correntes;23907887;Mil Reais
UF;11;Rondônia;2011;Produto Interno Bruto a preços correntes;27574714;Mil Reais
UF;11;Rondônia;2012;Produto Interno Bruto a preços correntes;30112720;Mil Reais
UF;11;Rondônia;2013;Produto Interno Bruto a preços correntes;31121413;Mil Reais
UF;11;Rondônia;2014;Produto Interno Bruto a preços correntes;34030982;Mil Reais
UF;11;Rondônia;2015;Produto Interno Bruto a preços correntes;36563333;Mil Reais
UF;11;Rondônia;2016;Produto Interno Bruto a preços correntes;39460359;Mil Reais
UF;11;Rondônia;2017;Produto Interno Bruto a preços correntes;43516147;Mil Reais
UF;11;Rondônia;2018;Produto Interno Bruto a preços correntes;44913978;Mil Reais
UF;11;Rondônia;2019;Produto Interno Bruto a preços correntes;47091336;Mil Reais
UF;11;Rondônia;2020;Produto Interno Bruto a preços correntes;51598741;Mil Reais
UF;11;Rondônia;2021;Produto Interno Bruto a preços correntes;58170096;Mil Reais
UF;12;Acre;2002;Produto Interno Bruto a preços correntes;2971301;Mil Reais
UF;12;Acre;2003;Produto Interno Bruto a preços correntes;3377234;Mil Reais
UF;12;Acre;2004;Produto Interno Bruto a preços correntes;3784003;Mil Reais
UF;12;Acre;2005;Produto Interno Bruto a preços correntes;4300581;Mil Reais
UF;12;Acre;2006;Produto Interno Bruto a preços correntes;4661807;Mil Reais
UF;12;Acre;2007;Produto Interno Bruto a preços correntes;5458172;Mil Reais
UF;12;Acre;2008;Produto Interno Bruto a preços correntes;6410255;Mil Reais
UF;12;Acre;2009;Produto Interno Bruto a preços correntes;7407821;Mil Reais
UF;12;Acre;2010;Produto Interno Bruto a preços correntes;8342356;Mil Reais
UF;12;Acre;2011;Produto Interno Bruto a preços correntes;8949434;Mil Reais
UF;12;Acre;2012;Produto Interno Bruto a preços correntes;10137925;Mil Reais
UF;12;Acre;2013;Produto Interno Bruto a preços correntes;11473930;Mil Reais
UF;12;Acre;2014;Produto Interno Bruto a preços correntes;13458698;Mil Reais
UF;12;Acre;2015;Produto Interno Bruto a preços correntes;13622802;Mil Reais
UF;12;Acre;2016;Produto Interno Bruto a preços correntes;13754240;Mil Reais
UF;12;Acre;2017;Produto Interno Bruto a preços correntes;14272941;Mil Reais
UF;12;Acre;2018;Produto Interno Bruto a preços correntes;15331123;Mil Reais
UF;12;Acre;2019;Produto Interno Bruto a preços correntes;15630017;Mil Reais
UF;12;Acre;2020;Produto Interno Bruto a preços correntes;16476371;Mil Reais
UF;12;Acre;2021;Produto Interno Bruto a preços correntes;21374440;Mil Reais
UF;13;Amazonas;2002;Produto Interno Bruto a preços correntes;22093338;Mil Reais
UF;13;Amazonas;2003;Produto Interno Bruto a preços correntes;25862134;Mil Reais
UF;13;Amazonas;2004;Produto Interno Bruto a preços correntes;31090696;Mil Reais
UF;13;Amazonas;2005;Produto Interno Bruto a preços correntes;33980877;Mil Reais
UF;13;Amazonas;2006;Produto Interno Bruto a preços correntes;39933213;Mil Reais
UF;13;Amazonas;2007;Produto Interno Bruto a preços correntes;43479773;Mil Reais
UF;13;Amazonas;2008;Produto Interno Bruto a preços correntes;48115265;Mil Reais
UF;13;Amazonas;2009;Produto Interno Bruto a preços correntes;50559840;Mil Reais
UF;13;Amazonas;2010;Produto Interno Bruto a preços correntes;60877123;Mil Reais
UF;13;Amazonas;2011;Produto Interno Bruto a preços correntes;70734401;Mil Reais
UF;13;Amazonas;2012;Produto Interno Bruto a preços correntes;72242701;Mil Reais
UF;13;Amazonas;2013;Produto Interno Bruto a preços correntes;83051233;Mil Reais
UF;13;Amazonas;2014;Produto Interno Bruto a preços correntes;86668644;Mil Reais
UF;13;Amazonas;2015;Produto Interno Bruto a preços correntes;86568184;Mil Reais
UF;13;Amazonas;2016;Produto Interno Bruto a preços correntes;89039782;Mil Reais
UF;13;Amazonas;2017;Produto Interno Bruto a preços correntes;93240191;Mil Reais
UF;13;Amazonas;2018;Produto Interno Bruto a preços correntes;100109235;Mil Reais
UF;13;Amazonas;2019;Produto Interno Bruto a preços correntes;108181091;Mil Reais
UF;13;Amazonas;2020;Produto Interno Bruto a preços correntes;116019139;Mil Reais
UF;13;Amazonas;2021;Produto Interno Bruto a preços correntes;131531038;Mil Reais
UF;14;Roraima;2002;Produto Interno Bruto a preços correntes;2392033;Mil Reais
UF;14;Roraima;2003;Produto Interno Bruto a preços correntes;2594081;Mil Reais
UF;14;Roraima;2004;Produto Interno Bruto a preços correntes;2822757;Mil Reais
UF;14;Roraima;2005;Produto Interno Bruto a preços correntes;3193430;Mil Reais
UF;14;Roraima;2006;Produto Interno Bruto a preços correntes;3802452;Mil Reais
UF;14;Roraima;2007;Produto Interno Bruto a preços correntes;4203302;Mil Reais
UF;14;Roraima;2008;Produto Interno Bruto a preços correntes;4841862;Mil Reais
UF;14;Roraima;2009;Produto Interno Bruto a preços correntes;5671975;Mil Reais
UF;14;Roraima;2010;Produto Interno Bruto a preços correntes;6639150;Mil Reais
UF;14;Roraima;2011;Produto Interno Bruto a preços correntes;7303719;Mil Reais
UF;14;Roraima;2012;Produto Interno Bruto a preços correntes;7711467;Mil Reais
UF;14;Roraima;2013;Produto Interno Bruto a preços correntes;9010725;Mil Reais
UF;14;Roraima;2014;Produto Interno Bruto a preços correntes;9744122;Mil Reais
UF;14;Roraima;2015;Produto Interno Bruto a preços correntes;10242905;Mil Reais
UF;14;Roraima;2016;Produto Interno Bruto a preços correntes;11013237;Mil Reais
UF;14;Roraima;2017;Produto Interno Bruto a preços correntes;12104709;Mil Reais
UF;14;Roraima;2018;Produto Interno Bruto a preços correntes;13369988;Mil Reais
UF;14;Roraima;2019;Produto Interno Bruto a preços correntes;14292227;Mil Reais
UF;14;Roraima;2020;Produto Interno Bruto a preços correntes;16024276;Mil Reais
UF;14;Roraima;2021;Produto Interno Bruto a preços correntes;18202579;Mil Reais
UF;15;Pará;2002;Produto Interno Bruto a preços correntes;26482159;Mil Reais
UF;15;Pará;2003;Produto Interno Bruto a preços correntes;30270152;Mil Reais
UF;15;Pará;2004;Produto Interno Bruto a preços correntes;37272726;Mil Reais
UF;15;Pará;2005;Produto Interno Bruto a preços correntes;40522893;Mil Reais
UF;15;Pará;2006;Produto Interno Bruto a preços correntes;45983027;Mil Reais
UF;15;Pará;2007;Produto Interno Bruto a preços correntes;51846876;Mil Reais
UF;15;Pará;2008;Produto Interno Bruto a preços correntes;60956978;Mil Reais
UF;15;Pará;2009;Produto Interno Bruto a preços correntes;61665096;Mil Reais
UF;15;Pará;2010;Produto Interno Bruto a preços correntes;82684518;Mil Reais
UF;15;Pará;2011;Produto Interno Bruto a preços correntes;98710736;Mil Reais
UF;15;Pará;2012;Produto Interno Bruto a preços correntes;107080881;Mil Reais
UF;15;Pará;2013;Produto Interno Bruto a preços correntes;121224847;Mil Reais
UF;15;Pará;2014;Produto Interno Bruto a preços correntes;124584945;Mil Reais
UF;15;Pará;2015;Produto Interno Bruto a preços correntes;130899505;Mil Reais
UF;15;Pará;2016;Produto Interno Bruto a preços correntes;138107514;Mil Reais
UF;15;Pará;2017;Produto Interno Bruto a preços correntes;155232404;Mil Reais
UF;15;Pará;2018;Produto Interno Bruto a preços correntes;161349602;Mil Reais
UF;15;Pará;2019;Produto Interno Bruto a preços correntes;178376984;Mil Reais
UF;15;Pará;2020;Produto Interno Bruto a preços correntes;215935604;Mil Reais
UF;15;Pará;2021;Produto Interno Bruto a preços correntes;262904979;Mil Reais
UF;16;Amapá;2002;Produto Interno Bruto a preços correntes;3173343;Mil Reais
UF;16;Amapá;2003;Produto Interno Bruto a preços correntes;3413195;Mil Reais
UF;16;Amapá;2004;Produto Interno Bruto a preços correntes;3824740;Mil Reais
UF;16;Amapá;2005;Produto Interno Bruto a preços correntes;4306410;Mil Reais
UF;16;Amapá;2006;Produto Interno Bruto a preços correntes;5280822;Mil Reais
UF;16;Amapá;2007;Produto Interno Bruto a preços correntes;6012523;Mil Reais
UF;16;Amapá;2008;Produto Interno Bruto a preços correntes;6950413;Mil Reais
UF;16;Amapá;2009;Produto Interno Bruto a preços correntes;7490656;Mil Reais
UF;16;Amapá;2010;Produto Interno Bruto a preços correntes;8237795;Mil Reais
UF;16;Amapá;2011;Produto Interno Bruto a preços correntes;9409228;Mil Reais
UF;16;Amapá;2012;Produto Interno Bruto a preços correntes;11130868;Mil Reais
UF;16;Amapá;2013;Produto Interno Bruto a preços correntes;12763486;Mil Reais
UF;16;Amapá;2014;Produto Interno Bruto a preços correntes;13400284;Mil Reais
UF;16;Amapá;2015;Produto Interno Bruto a preços correntes;13861293;Mil Reais
UF;16;Amapá;2016;Produto Interno Bruto a preços correntes;14342135;Mil Reais
UF;16;Amapá;2017;Produto Interno Bruto a preços correntes;15481908;Mil Reais
UF;16;Amapá;2018;Produto Interno Bruto a preços correntes;16795207;Mil Reais
UF;16;Amapá;2019;Produto Interno Bruto a preços correntes;17496661;Mil Reais
UF;16;Amapá;2020;Produto Interno Bruto a preços correntes;18469115;Mil Reais
UF;16;Amapá;2021;Produto Interno Bruto a preços correntes;20099851;Mil Reais
UF;17;Tocantins;2002;Produto Interno Bruto a preços correntes;5322563;Mil Reais
UF;17;Tocantins;2003;Produto Interno Bruto a preços correntes;6612339;Mil Reais
UF;17;Tocantins;2004;Produto Interno Bruto a preços correntes;7251580;Mil Reais
UF;17;Tocantins;2005;Produto Interno Bruto a preços correntes;7707340;Mil Reais
UF;17;Tocantins;2006;Produto Interno Bruto a preços correntes;8655613;Mil Reais
UF;17;Tocantins;2007;Produto Interno Bruto a preços correntes;10192844;Mil Reais
UF;17;Tocantins;2008;Produto Interno Bruto a preços correntes;12116393;Mil Reais
UF;17;Tocantins;2009;Produto Interno Bruto a preços correntes;13689804;Mil Reais
UF;17;Tocantins;2010;Produto Interno Bruto a preços correntes;16404816;Mil Reais
UF;17;Tocantins;2011;Produto Interno Bruto a preços correntes;18345688;Mil Reais
UF;17;Tocantins;2012;Produto Interno Bruto a preços correntes;20684430;Mil Reais
UF;17;Tocantins;2013;Produto Interno Bruto a preços correntes;23796656;Mil Reais
UF;17;Tocantins;2014;Produto Interno Bruto a preços correntes;26189323;Mil Reais
UF;17;Tocantins;2015;Produto Interno Bruto a preços correntes;28930291;Mil Reais
UF;17;Tocantins;2016;Produto Interno Bruto a preços correntes;31584816;Mil Reais
UF;17;Tocantins;2017;Produto Interno Bruto a preços correntes;34108132;Mil Reais
UF;17;Tocantins;2018;Produto Interno Bruto a preços correntes;35666183;Mil Reais
UF;17;Tocantins;2019;Produto Interno Bruto a preços correntes;39355941;Mil Reais
UF;17;Tocantins;2020;Produto Interno Bruto a preços correntes;43649803;Mil Reais
UF;17;Tocantins;2021;Produto Interno Bruto a preços correntes;51780764;Mil Reais
UF;21;Maranhão;2002;Produto Interno Bruto a preços correntes;15924003;Mil Reais
UF;21;Maranhão;2003;Produto Interno Bruto a preços correntes;19502900;Mil Reais
UF;21;Maranhão;2004;Produto Interno Bruto a preços correntes;22127132;Mil Reais
UF;21;Maranhão;2005;Produto Interno Bruto a preços correntes;25104209;Mil Reais
UF;21;Maranhão;2006;Produto Interno Bruto a preços correntes;29710643;Mil Reais
UF;21;Maranhão;2007;Produto Interno Bruto a preços correntes;30730866;Mil Reais
UF;21;Maranhão;2008;Produto Interno Bruto a preços correntes;37932402;Mil Reais
UF;21;Maranhão;2009;Produto Interno Bruto a preços correntes;40994571;Mil Reais
UF;21;Maranhão;2010;Produto Interno Bruto a preços correntes;46309633;Mil Reais
UF;21;Maranhão;2011;Produto Interno Bruto a preços correntes;52143535;Mil Reais
UF;21;Maranhão;2012;Produto Interno Bruto a preços correntes;60490109;Mil Reais
UF;21;Maranhão;2013;Produto Interno Bruto a preços correntes;67694845;Mil Reais
UF;21;Maranhão;2014;Produto Interno Bruto a preços correntes;76842028;Mil Reais
UF;21;Maranhão;2015;Produto Interno Bruto a preços correntes;78475994;Mil Reais
UF;21;Maranhão;2016;Produto Interno Bruto a preços correntes;85310038;Mil Reais
UF;21;Maranhão;2017;Produto Interno Bruto a preços correntes;89542757;Mil Reais
UF;21;Maranhão;2018;Produto Interno Bruto a preços correntes;98179496;Mil Reais
UF;21;Maranhão;2019;Produto Interno Bruto a preços correntes;97339938;Mil Reais
UF;21;Maranhão;2020;Produto Interno Bruto a preços correntes;106915962;Mil Reais
UF;21;Maranhão;2021;Produto Interno Bruto a preços correntes;124980720;Mil Reais
UF;22;Piauí;2002;Produto Interno Bruto a preços correntes;7122635;Mil Reais
UF;22;Piauí;2003;Produto Interno Bruto a preços correntes;8414901;Mil Reais
UF;22;Piauí;2004;Produto Interno Bruto a preços correntes;9406461;Mil Reais
UF;22;Piauí;2005;Produto Interno Bruto a preços correntes;10711834;Mil Reais
UF;22;Piauí;2006;Produto Interno Bruto a preços correntes;13360478;Mil Reais
UF;22;Piauí;2007;Produto Interno Bruto a preços correntes;13736085;Mil Reais
UF;22;Piauí;2008;Produto Interno Bruto a preços correntes;16203340;Mil Reais
UF;22;Piauí;2009;Produto Interno Bruto a preços correntes;18946449;Mil Reais
UF;22;Piauí;2010;Produto Interno Bruto a preços correntes;22269149;Mil Reais
UF;22;Piauí;2011;Produto Interno Bruto a preços correntes;25941362;Mil Reais
UF;22;Piauí;2012;Produto Interno Bruto a preços correntes;28637685;Mil Reais
UF;22;Piauí;2013;Produto Interno Bruto a preços correntes;31283593;Mil Reais
UF;22;Piauí;2014;Produto Interno Bruto a preços correntes;37723497;Mil Reais
UF;22;Piauí;2015;Produto Interno Bruto a preços correntes;39149686;Mil Reais
UF;22;Piauí;2016;Produto Interno Bruto a preços correntes;41416937;Mil Reais
UF;22;Piauí;2017;Produto Interno Bruto a preços correntes;45365541;Mil Reais
UF;22;Piauí;2018;Produto Interno Bruto a preços correntes;50378418;Mil Reais
UF;22;Piauí;2019;Produto Interno Bruto a preços correntes;52780785;Mil Reais
UF;22;Piauí;2020;Produto Interno Bruto a preços correntes;56391257;Mil Reais
UF;22;Piauí;2021;Produto Interno Bruto a preços correntes;64028303;Mil Reais
UF;23;Ceará;2002;Produto Interno Bruto a preços correntes;28718840;Mil Reais
UF;23;Ceará;2003;Produto Interno Bruto a preços correntes;32687418;Mil Reais
UF;23;Ceará;2004;Produto Interno Bruto a preços correntes;36890816;Mil Reais
UF;23;Ceará;2005;Produto Interno Bruto a preços correntes;41059459;Mil Reais
UF;23;Ceará;2006;Produto Interno Bruto a preços correntes;46500321;Mil Reais
UF;23;Ceará;2007;Produto Interno Bruto a preços correntes;50818749;Mil Reais
UF;23;Ceará;2008;Produto Interno Bruto a preços correntes;60415574;Mil Reais
UF;23;Ceará;2009;Produto Interno Bruto a preços correntes;67199958;Mil Reais
UF;23;Ceará;2010;Produto Interno Bruto a preços correntes;79336299;Mil Reais
UF;23;Ceará;2011;Produto Interno Bruto a preços correntes;89695828;Mil Reais
UF;23;Ceará;2012;Produto Interno Bruto a preços correntes;96973753;Mil Reais
UF;23;Ceará;2013;Produto Interno Bruto a preços correntes;109036556;Mil Reais
UF;23;Ceará;2014;Produto Interno Bruto a preços correntes;126054472;Mil Reais
UF;23;Ceará;2015;Produto Interno Bruto a preços correntes;130629849;Mil Reais
UF;23;Ceará;2016;Produto Interno Bruto a preços correntes;138422521;Mil Reais
UF;23;Ceará;2017;Produto Interno Bruto a preços correntes;147921534;Mil Reais
UF;23;Ceará;2018;Produto Interno Bruto a preços correntes;155903825;Mil Reais
UF;23;Ceará;2019;Produto Interno Bruto a preços correntes;163575327;Mil Reais
UF;23;Ceará;2020;Produto Interno Bruto a preços correntes;166914536;Mil Reais
UF;23;Ceará;2021;Produto Interno Bruto a preços correntes;194884802;Mil Reais
UF;24;Rio Grande do Norte;2002;Produto Interno Bruto a preços correntes;13566803;Mil Reais
UF;24;Rio Grande do Norte;2003;Produto Interno Bruto a preços correntes;14865441;Mil Reais
UF;24;Rio Grande do Norte;2004;Produto Interno Bruto a preços correntes;17252398;Mil Reais
UF;24;Rio Grande do Norte;2005;Produto Interno Bruto a preços correntes;19966918;Mil Reais
UF;24;Rio Grande do Norte;2006;Produto Interno Bruto a preços correntes;22890124;Mil Reais
UF;24;Rio Grande do Norte;2007;Produto Interno Bruto a preços correntes;26318259;Mil Reais
UF;24;Rio Grande do Norte;2008;Produto Interno Bruto a preços correntes;28898860;Mil Reais
UF;24;Rio Grande do Norte;2009;Produto Interno Bruto a preços correntes;30941054;Mil Reais
UF;24;Rio Grande do Norte;2010;Produto Interno Bruto a preços correntes;36184502;Mil Reais
UF;24;Rio Grande do Norte;2011;Produto Interno Bruto a preços correntes;40992925;Mil Reais
UF;24;Rio Grande do Norte;2012;Produto Interno Bruto a preços correntes;46412208;Mil Reais
UF;24;Rio Grande do Norte;2013;Produto Interno Bruto a preços correntes;51518457;Mil Reais
